No.;"Nama Lembaga";"No. Seri Kartu SAM";"No. Manifest Kartu SAM";"No. PCID";Keterangan
114;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043747;2019AA11100500000000000000043747;Berhasil;R
115;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043748;2019AA11100500000000000000043748;Berhasil;R
116;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043749;2019AA11100500000000000000043749;Berhasil;R
117;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043750;2019AA11100500000000000000043750;Berhasil;R
118;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043751;2019AA11100500000000000000043751;Berhasil;R
119;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043752;2019AA11100500000000000000043752;Berhasil;R
120;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043753;2019AA11100500000000000000043753;Berhasil;R
121;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043754;2019AA11100500000000000000043754;Berhasil;R
122;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043755;2019AA11100500000000000000043755;Berhasil;R
123;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043756;2019AA11100500000000000000043756;Berhasil;R
124;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043757;2019AA11100500000000000000043757;Berhasil;R
125;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043758;2019AA11100500000000000000043758;Berhasil;R
126;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043759;2019AA11100500000000000000043759;Berhasil;R
127;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043760;2019AA11100500000000000000043760;Berhasil;R
128;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043761;2019AA11100500000000000000043761;Berhasil;R
129;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043762;2019AA11100500000000000000043762;Berhasil;R
130;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043763;2019AA11100500000000000000043763;Berhasil;R
131;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043764;2019AA11100500000000000000043764;Berhasil;R
132;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043765;2019AA11100500000000000000043765;Berhasil;R
133;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043766;2019AA11100500000000000000043766;Berhasil;R
134;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043767;2019AA11100500000000000000043767;Berhasil;R
135;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043768;2019AA11100500000000000000043768;Berhasil;R
136;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043769;2019AA11100500000000000000043769;Berhasil;R
137;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043770;2019AA11100500000000000000043770;Berhasil;R
138;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043771;2019AA11100500000000000000043771;Berhasil;R
139;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043772;2019AA11100500000000000000043772;Berhasil;R
140;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043773;2019AA11100500000000000000043773;Berhasil;R
141;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043774;2019AA11100500000000000000043774;Berhasil;R
142;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043775;2019AA11100500000000000000043775;Berhasil;R
143;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043776;2019AA11100500000000000000043776;Berhasil;R
144;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043777;2019AA11100500000000000000043777;Berhasil;R
145;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043778;2019AA11100500000000000000043778;Berhasil;R
